merchant,period,churn_predicted,churn_probability
0002d07bba,2034-12,1,0.42
000ed1585f,2034-12,1,0.49
000f8c3297,2034-12,0,0.01
002a66c0e1,2034-12,0,0.02
003d24c5d3,2034-12,0,0.3
003d5fe4f1,2034-12,0,0.02
004a994585,2034-10,0,0.12
00575c7901,2034-12,0,0.01
005e8bb6fb,2034-10,0,0.06
0063ff0c6b,2034-11,0,0.21
0084eddcc7,2034-12,1,0.37
00858752bc,2034-12,1,0.63
008a9c02f1,2034-12,0,0.11
008c7ea5b2,2034-12,0,0.01
008d1671e6,2034-12,0,0.12
009a02a426,2034-10,0,0.1
00a6d31535,2034-12,0,0.02
00ab614386,2034-11,0,0.18
00ae6015d0,2034-12,0,0.18
00bf6e541e,2034-11,1,0.61
00c1ce3556,2034-12,0,0.01
00c70c1bdb,2034-12,0,0.01
00cd72cf0e,2034-10,0,0.09
00ce0e442c,2034-12,0,0.11
00de6886b3,2034-10,1,0.54
00debf4f33,2034-11,1,0.58
00ef1ec165,2034-12,1,0.51
00efe85a83,2034-11,1,0.65
00fd5db000,2034-12,1,0.51
01076b5117,2034-12,0,0.23
0111d7d609,2034-12,1,0.84
011a39857d,2034-12,1,0.54
01229befeb,2034-11,1,0.4
01335cbe3e,2034-12,0,0.08
013a169f1e,2034-10,0,0.04
01422c116f,2034-12,1,0.62
0146e94777,2034-11,0,0.26
0147289ac5,2034-10,1,0.6
014cc22d49,2034-12,1,0.48
014d5fba87,2034-12,0,0.05
0150c59efd,2034-12,1,0.59
0155692eb6,2034-12,1,0.73
015ca8e584,2034-12,0,0.14
015dd6c27c,2034-12,1,0.57
016df11783,2034-12,0,0.02
016fac6a4c,2034-10,1,0.38
01714118fa,2034-12,0,0.09
0179c7a02d,2034-12,1,0.73
018484a73d,2034-11,1,0.59
0191037dcd,2034-12,0,0.11
0194c4e788,2034-12,0,0.23
0198e54d58,2034-12,0,0.13
01a317bb29,2034-12,0,0.03
01ad3d5f48,2034-11,1,0.66
01b6d7fb60,2034-10,1,0.51
01c0a2852b,2034-11,0,0.09
01c260d949,2034-12,0,0.09
01c6a64495,2034-12,0,0.03
01ccc9e43b,2034-12,0,0.12
01cfac2a68,2034-11,0,0.13
01d2ab2ec4,2034-12,0,0.03
01e75670d6,2034-11,0,0.08
020822e431,2034-11,1,0.81
020bc24780,2034-10,0,0.09
02116dda79,2034-12,0,0.05
0221b4736b,2034-11,0,0.16
022606a2ae,2034-12,1,0.65
0234a043e0,2034-12,0,0.01
023f542244,2034-10,1,0.78
0243b2a5f8,2034-11,1,0.63
02573c50ed,2034-12,0,0.25
025b3eb5d9,2034-12,1,0.38
025e237cf5,2034-11,0,0.09
025e3b86e9,2034-12,0,0.0
0266d521b9,2034-12,0,0.33
02834d5856,2034-12,0,0.1
02b37cb5bf,2034-11,0,0.09
02b50129b9,2034-12,0,0.23
02b9d7abce,2034-12,0,0.07
02bf94e2e1,2034-12,0,0.0
02c83f638f,2034-12,0,0.3
02c9bf7fcd,2034-10,0,0.01
02d3b54eb9,2034-12,0,0.17
02d95e437a,2034-12,0,0.09
02da3c6c8e,2034-12,0,0.28
02df008e05,2034-12,0,0.12
02e4313568,2034-12,0,0.13
02e8b1d2da,2034-11,1,0.7
02ec54dace,2034-10,1,0.41
02f4c44988,2034-12,1,0.71
02f520d93e,2034-10,0,0.16
02fb23d239,2034-12,0,0.23
02fd08f025,2034-12,0,0.01
03188bf0a9,2034-12,0,0.3
03234a5a33,2034-12,0,0.02
0325fa16d1,2034-12,1,0.8
032b9f9e2f,2034-10,0,0.21
032e2da3c8,2034-12,0,0.19
033c252948,2034-12,1,0.57
03547ec91d,2034-12,0,0.0
035a9fe0e1,2034-12,1,0.49
036a55d3c5,2034-11,0,0.16
03708157f2,2034-12,1,0.61
037e03d647,2034-12,0,0.04
038850129c,2034-12,0,0.24
03887a71d1,2034-12,0,0.32
038e2ec826,2034-12,1,0.73
0391fb7b00,2034-11,1,0.51
039b70019c,2034-11,1,0.82
039c0136d4,2034-10,1,0.73
039c624709,2034-12,0,0.11
039fb73850,2034-12,0,0.01
03a1f22994,2034-12,0,0.29
03ad8516c9,2034-12,1,0.35
03b0467f62,2034-12,0,0.32
03bd2d6a2b,2034-12,0,0.19
03bf1b16b5,2034-12,0,0.22
03c67a80f6,2034-12,0,0.28
03cd6e301b,2034-12,0,0.22
03d5e128b9,2034-12,1,0.4
03e0a4c3f5,2034-12,0,0.01
03e191402d,2034-12,0,0.0
03e1d63f5b,2034-12,0,0.0
03ea5430e3,2034-10,1,0.61
03ea9c8bea,2034-11,1,0.47
03f760dbc5,2034-10,0,0.15
03f7a6bdc7,2034-12,0,0.12
03fbb5ba68,2034-11,0,0.12
040a4b7401,2034-11,0,0.24
0411785a8c,2034-12,0,0.09
0413bdb4be,2034-12,0,0.09
042862b353,2034-10,1,0.36
042cf1e451,2034-12,0,0.0
043ee101fa,2034-12,0,0.2
04496f37f9,2034-10,1,0.69
044ebe709c,2034-12,0,0.09
046262baea,2034-12,1,0.77
047a744051,2034-12,0,0.01
04881fa402,2034-12,0,0.22
049869edd9,2034-12,0,0.13
049fe6e489,2034-11,1,0.5
04a764b433,2034-11,1,0.38
04b7202cb7,2034-11,1,0.91
04bb68b305,2034-12,0,0.22
04d0bf6fd3,2034-12,1,0.36
04e0e5fd73,2034-10,1,0.64
04ed32e789,2034-12,0,0.04
04f8a5a2f9,2034-12,0,0.02
0510fa4210,2034-10,1,0.53
0513f88fe0,2034-12,1,0.45
051728b789,2034-12,0,0.05
