merchant,category
0002b63b92,Single Tx
0002d07bba,Average
00057d4302,Average
000bcff341,Single Tx
000ddbf0ca,Single Tx
000ed1585f,Average
000f8c3297,Average
001f7b7a4f,Single Tx
0020aefbd9,Average
0026f256ac,Average
002a66c0e1,Average
0037a192b4,Low Volume
003d24c5d3,Low Volume
003d5fe4f1,Average
0042aadfdf,Average
0047f556b5,Average
004a994585,Average
004d02cb10,Average
0052daeb66,Average
00575c7901,Very High Volume
005c218139,Average
005e8bb6fb,Very High Volume
00607c6461,Single Tx
0063ff0c6b,Low Volume
006ec5f506,Single Tx
007364b02a,Low Volume
0082de98e9,Average
0084eddcc7,Low Volume
00858752bc,Single Tx
0085991c76,Average
008a9c02f1,High Vol: High Tx Amount + Low Freq
008c7ea5b2,Average
008d1671e6,Average
0097b9f523,Average
009a02a426,Average
00a6d31535,Average
00ab614386,Average
00ae6015d0,Low Volume
00b2163249,Single Tx
00bf6e541e,Low Volume
00c1ce3556,Very Low Volume
00c70c1bdb,Average
00cd72cf0e,Very Low Volume
00ce0e442c,Average
00d265586f,Single Tx
00d7b498bb,Average
00de6886b3,Single Tx
00debf4f33,Average
00e7748c5b,Average
00ef1ec165,Single Tx
00efe85a83,Average
00fd5db000,Average
00ffc7c38b,Average
01030f79cb,Average
010749c732,Average
01076b5117,Average
0111d7d609,Low Volume
011959dcd5,Single Tx
011a39857d,Average
011c724657,Single Tx
01229befeb,Low Volume
0125d43ba4,Average
01335cbe3e,High Vol: High Tx Amount + Low Freq
0135d92658,Single Tx
013a169f1e,High Vol: Low Tx Amount + High Freq
013cc2cd06,Low Volume
01422c116f,Very Low Volume
0146e94777,Average
0147289ac5,Low Volume
0149d4bfba,Average
014aa7f11d,Average
014cc22d49,Average
014d46a7cd,Single Tx
014d5fba87,Average
014de96817,Low Volume
0150c59efd,Low Volume
0153aebab1,Average
0155692eb6,Very Low Volume
015ca8e584,Average
015dd6c27c,Average
015f6dc983,Very Low Volume
0169821ba4,Average
016df11783,Average
016fac6a4c,Average
017130662b,Average
01714118fa,Average
01741912b7,Average
0179c7a02d,Low Volume
018484a73d,Low Volume
01874bc7cf,Average
0191037dcd,Average
0194c4e788,Low Volume
0197e27682,Single Tx
0198e54d58,Average
019fe8da31,Single Tx
01a317bb29,Average
01ad3d5f48,Average
01b6d7fb60,Average
01c0a2852b,Average
01c260d949,Average
01c6a64495,Average
01c89d040b,Average
01ccc9e43b,High Vol: Low Tx Amount + High Freq
01cfac2a68,Average
01d2ab2ec4,High Vol: High Tx Amount + Low Freq
01d7aab444,Low Volume
01e75670d6,Low Volume
01eefd282c,Single Tx
01f6668962,Average
020822e431,Very Low Volume
020bc24780,Average
020fc8300d,Average
02116dda79,Average
02195f8d1a,Average
0221954dfe,Average
0221b4736b,High Vol: Low Tx Amount + High Freq
022606a2ae,Average
022679978a,Average
0234a043e0,Average
023f542244,Very Low Volume
0240e64f70,Single Tx
0243b2a5f8,Single Tx
024eba0e34,Low Volume
0252834ede,Low Volume
0253d04cf0,Single Tx
02573c50ed,Very Low Volume
025b3eb5d9,Average
025e237cf5,Average
025e3b86e9,Average
0266d521b9,Average
026c361940,Low Volume
0276515bcb,Average
02794a5ea5,Average
02834d5856,Average
028d01b0c5,Average
0290e4ad90,Average
0294660a13,High Vol: High Tx Amount + Low Freq
029a0ed7d7,Low Volume
029b8d26b9,Average
02a42d9d45,High Vol: High Tx Amount + Low Freq
02ac035459,Average
02b37cb5bf,Average
02b50129b9,Average
02b7b7aa1e,Single Tx
02b9d7abce,High Vol: Low Tx Amount + High Freq
02bb6bfb29,Average
02bf94e2e1,Average
02c35b47d1,Average
02c83f638f,Average
02c9bf7fcd,Very High Volume
02cd94ff7d,Average
02d3459d0d,Average
02d3b54eb9,Average
02d95e437a,Average
02da3c6c8e,Average
02da898d61,Average
02dde18913,Average
02df008e05,Average
02e4313568,Low Volume
02e818eee6,Average
02e8b1d2da,Very Low Volume
02ec54dace,Single Tx
02ed6949fb,Single Tx
02ee7421cd,Low Volume
02efdb900e,Average
02f0ea4a07,Average
02f4c44988,Low Volume
02f520d93e,Average
02fb23d239,Average
02fd08f025,Average
030a36dac7,Average
03121e8b2a,Average
03188bf0a9,Low Volume
031a1e757f,Average
031a3fd660,Single Tx
0320bfd688,Single Tx
03234a5a33,Average
0325fa16d1,Very Low Volume
03291c8513,Average
032b9f9e2f,High Vol: High Tx Amount + Low Freq
032e2da3c8,Average
032e4ed5f5,Average
0330ec3b09,Very Low Volume
033c252948,Average
03413dc039,Average
03443436a6,Average
03449da1e0,Very Low Volume
034fc4eb19,Average
03547ec91d,Average
035a9fe0e1,Single Tx
03646ab0ac,Single Tx
0369c5ceb3,Average
036a55d3c5,Average
03708157f2,Average
037e03d647,Average
